Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements Number,Returning Child,Age Child Left Care,Carer Age,Placement Type,Missing Episodes,Placement Sequence Number,Placement Start Date,Placement End Reason,Placement Time Period (days),Number Of Carers,Carer Gender Composition,Placed With Siblings,Emergency Placement,Distance From Home (miles),Placement Planning Meeting,Reason For Leaving Care,Sibling Group Size,Previous Care History,Age Child Came Into Care,Residential Home Type,Carer Ethnicity Or Religion,Carer Type,EH involvement,Siblings In EH,YOT involvement
7,Female,White - British,0,TRUE,16,45,Fostering - Short Term,7,1,23/10/2023 00:00,Allegation (S47),873,1,Male,FALSE,TRUE,1.86,TRUE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - Caribbean,Short Term Foster,FALSE,FALSE,TRUE
0,Female,White - British,0,TRUE,15,63,Kinship,6,1,21/07/2024 00:00,Allegation (S47),612,1,Male,TRUE,TRUE,0.55,FALSE,Why the child left care entirely,8,Any additional context and comments about the child's care history,0,including Mainstream,Black/Black British - African,Kinship,TRUE,FALSE,TRUE
0,Trans Female,White - British,0,TRUE,2,72,Kinship,1,1,12/06/2022 00:00,Carer requests placement end due to child's behaviour,573,1,Male,TRUE,FALSE,15.58,FALSE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,White - Irish,Short Term Foster,FALSE,TRUE,FALSE
16,Female,Asian/British Asian - Pakistani,0,TRUE,18,61,Special Guardianship,7,1,23/09/2024 00:00,Planned move to long-term fostering,734,1,Male,TRUE,TRUE,12.06,FALSE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Bangladeshi,Special Guardianship,TRUE,FALSE,TRUE
4,Female,White - British,0,TRUE,8,63,Kinship,7,1,06/03/2024 00:00,Allegation (S47),64,1,Female,FALSE,TRUE,1.85,TRUE,Why the child left care entirely,1,Any additional context and comments about the child's care history,0,including Mainstream,Roma,Kinship,TRUE,FALSE,FALSE
2,Female,White - British,0,TRUE,5,43,Fostering - Long Term,2,1,13/08/2024 00:00,Planned move to long-term fostering,281,1,Male,TRUE,FALSE,18.75,FALSE,Why the child left care entirely,5,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Pakistani,Long Term Foster,TRUE,TRUE,TRUE
9,Male,Asian/British Asian - Bangladeshi,0,TRUE,11,67,Kinship,7,1,26/07/2024 00:00,Carer requests placement end due to child's behaviour,457,1,Male,TRUE,FALSE,6.54,FALSE,Why the child left care entirely,0,Any additional context and comments about the child's care history,0,including Mainstream,Mixed - Other,Short Term Foster,TRUE,FALSE,TRUE
1,Female,White - British,0,FALSE,15,38,Fostering - Emergency,4,1,07/08/2023 00:00,N/A,953,1,Female,TRUE,FALSE,17.59,FALSE,N/A,5,N/A,0,including Mainstream,White - British,Emergency Foster,FALSE,TRUE,TRUE
0,Male,White - British,0,FALSE,12,63,Residential,7,1,24/06/2025 00:00,N/A,194,1,Male,TRUE,FALSE,13.81,FALSE,N/A,5,N/A,0,including Mainstream,Asian/British Asian - Bangladeshi,Residential,TRUE,TRUE,TRUE
10,Female,White - Other,0,TRUE,11,64,Fostering - Short Term,4,1,05/01/2022 00:00,Carer requests placement end due to child's behaviour,868,1,Trans Male,TRUE,FALSE,84.6,TRUE,Why the child left care entirely,3,Any additional context and comments about the child's care history,0,including Mainstream,Asian/British Asian - Other,Residential,TRUE,TRUE,TRUE
