Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements Number,Returning Child,Age Child Left Care,Carer Age,Placement Type,Missing Episodes,Placement Sequence Number,Placement Start Date,Placement End Reason,Placement End Time Period,Number Of Carers,Carer Gender Composition,Placed With Siblings,Emergency Placement,Distance From Home,Placement Planning Meeting,Reason For Leaving Care,Sibling Group Size,Previous Care History,Age Child Came Into Care,Residential Home Type,Carer Ethnicity Or Religion,Carer Type,EH involvement,Siblings In EH,YOT involvement,
16,Trans Male,White – British,0,True,18,[70],Fostering - Respite,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,True,100.46,True,Why the child left care entirely,8,Any additional context and comments about the child’s care history,6,including Mainstream,['Mixed - White/Black Caribbean'],Respite Foster,False,False,False,
12,Trans Female,White – British,0,True,13,[30],Fostering - Respite,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],False,True,475.32,False,Why the child left care entirely,1,Any additional context and comments about the child’s care history,9,including Mainstream,['Asian/British Asian – Other'],Respite Foster,False,False,False,
7,Trans Female,Asian/British Asian – Pakistani,0,True,13,[69],Fostering - Short Term,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unborn'],True,True,18.12,True,Why the child left care entirely,6,Any additional context and comments about the child’s care history,3,including Mainstream,['White – Irish'],Short Term Foster,False,False,False,
15,Male,White – British,0,True,17,[32],Residential,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Female'],True,True,443.16,False,Why the child left care entirely,3,Any additional context and comments about the child’s care history,8,including Mainstream,['White – Irish'],Residential,False,True,False,
4,Male,White – British,0,True,18,[39],Special Guardianship,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unspecified'],True,False,852.99,True,Why the child left care entirely,4,Any additional context and comments about the child’s care history,3,including Mainstream,['Traveller – Other'],Special Guardianship,False,False,False,
5,Male,White – British,0,True,13,[47],Adoption,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['NULL'],True,False,814.93,True,Why the child left care entirely,6,Any additional context and comments about the child’s care history,16,including Mainstream,['Black/Black British – African'],Adoption,False,False,False,
7,Female,White – British,0,True,9,[50],Fostering - Respite,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],True,False,222.26,True,Why the child left care entirely,4,Any additional context and comments about the child’s care history,3,including Mainstream,['Gypsy / Roma'],Respite Foster,False,False,True,
3,Male,Asian/British Asian – Pakistani,0,False,6,[30],Residential,2,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Trans Male'],True,False,451.78,True,N/A,7,N/A,7,including Mainstream,['Gypsy / Roma'],Residential,False,False,False,
12,Male,Mixed - White/Black Caribbean,0,True,17,[34],Adoption,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Trans Male'],True,False,288.23,False,Why the child left care entirely,5,Any additional context and comments about the child’s care history,6,including Mainstream,['White – Other'],Adoption,False,False,False,
10,Female,White – British,0,False,17,[59],Fostering - Respite,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unspecified'],True,False,267.89,True,N/A,6,N/A,14,including Mainstream,['Mixed - White/Black African'],Respite Foster,False,False,False,
8,Trans Female,White – British,0,False,10,[62],Adoption,2,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Non binary'],False,True,263.77,False,N/A,0,N/A,0,including Mainstream,['Refused'],Adoption,False,False,False,
13,Trans Male,White - Central European,0,True,15,[66],Special Guardianship,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Male'],True,True,82.61,False,Why the child left care entirely,6,Any additional context and comments about the child’s care history,14,including Mainstream,['Traveller of Irish Heritage'],Special Guardianship,False,False,False,
1,Female,White - Eastern European,0,True,15,[61],Special Guardianship,2,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unknown'],True,False,758.84,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,12,including Mainstream,['NULL'],Special Guardianship,False,False,False,
2,Trans Male,Black/Black British – Caribbean,0,True,16,[66],Special Guardianship,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['NULL'],True,True,301.88,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,16,including Mainstream,['White – British'],Special Guardianship,False,False,False,
14,Male,Asian/British Asian – Indian,0,False,15,[40],Fostering - Short Term,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Female'],True,False,131.14,True,N/A,4,N/A,7,including Mainstream,['White – Other'],Short Term Foster,False,True,False,
17,Trans Male,Black/Black British – African,0,False,18,[74],Fostering - Long Term,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Indeterminate'],True,True,880.79,True,N/A,0,N/A,15,including Mainstream,['Black/Black British – Other'],Long Term Foster,True,False,False,
6,Male,White – British,0,True,13,[25],Kinship,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,False,628.92,False,Why the child left care entirely,1,Any additional context and comments about the child’s care history,3,including Mainstream,['Information Not Yet Obtained'],Kinship,False,False,False,
8,Trans Male,White – British,0,True,18,[65],Fostering - Short Term,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],True,True,78.19,False,Why the child left care entirely,5,Any additional context and comments about the child’s care history,10,including Mainstream,['NULL'],Short Term Foster,True,False,False,
3,Female,White – Other,0,True,15,[47],Fostering - Short Term,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,False,923.36,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,1,including Mainstream,['Traveller – Other'],Short Term Foster,False,True,False,
9,Female,White – British,0,True,11,[66],Kinship,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unspecified'],True,True,450.18,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,9,including Mainstream,['Asian/British Asian – Bangladeshi'],Kinship,True,False,False,
13,Male,Asian/British Asian – Pakistani,0,False,16,[49],Adoption,5,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Trans Male'],True,True,685.27,True,N/A,0,N/A,8,including Mainstream,['NULL'],Adoption,False,False,False,
5,Female,White - Eastern European,0,False,8,[72],Fostering - Emergency,5,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Female'],False,False,143.59,False,N/A,1,N/A,7,including Mainstream,['Gypsy / Roma'],Emergency Foster,True,False,False,
16,Female,White – British,0,False,17,[61],Adoption,3,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Female'],True,True,562.13,False,N/A,3,N/A,8,including Mainstream,['Traveller – Other'],Adoption,True,True,False,
15,Male,White – British,0,True,17,[54],Fostering - Emergency,4,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['NULL'],True,True,251.52,True,Why the child left care entirely,3,Any additional context and comments about the child’s care history,13,including Mainstream,['Mixed – Other'],Emergency Foster,False,False,False,
9,Male,White – British,0,True,18,[31],Special Guardianship,0,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Male'],True,True,954.37,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,9,including Mainstream,['Mixed - White/Asian'],Special Guardianship,False,False,False,
9,Female,White – British,0,True,12,[27],Kinship,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Female'],True,True,274.01,False,Why the child left care entirely,3,Any additional context and comments about the child’s care history,10,including Mainstream,['White - Central European'],Kinship,False,False,False,
1,Male,Asian/British Asian – Other,0,True,3,[55],Residential,5,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,False,576.04,True,Why the child left care entirely,2,Any additional context and comments about the child’s care history,12,including Mainstream,['Asian/British Asian – Indian'],Residential,False,False,False,
0,Female,White – British,0,True,6,[71],Fostering - Respite,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Unknown'],True,False,393.63,False,Why the child left care entirely,6,Any additional context and comments about the child’s care history,13,including Mainstream,['Black/Black British – African'],Respite Foster,False,False,False,
13,Male,White – British,0,False,18,[43],Fostering - Emergency,1,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unborn'],True,True,750.52,False,N/A,3,N/A,4,including Mainstream,['Black/Black British – Caribbean'],Emergency Foster,False,True,False,
13,Female,White – British,0,False,17,[49],Adoption,0,1,2025-12-21 22:53:40.625587,N/A,N/A,1,['Unspecified'],True,False,668.31,True,N/A,6,N/A,9,including Mainstream,['White – Other'],Adoption,False,False,True,
7,Non binary,White – British,0,True,14,[45],Adoption,1,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Non binary'],True,True,860.94,True,Why the child left care entirely,8,Any additional context and comments about the child’s care history,2,including Mainstream,['Mixed – Other'],Adoption,False,False,False,
15,Trans Female,White – British,0,True,18,[44],Fostering - Long Term,3,1,2025-12-21 22:53:40.625587,Reason why most recent placement ended,6 months ago,1,['Indeterminate'],True,True,67.61,True,Why the child left care entirely,4,Any additional context and comments about the child’s care history,16,including Mainstream,['Other Ethnic Group'],Long Term Foster,False,True,False,
