Child Age At Placement,Child Gender,Child Ethnicity,Child Prior Placements,Returning Child,Missing Episodes,Sibling Group Size,Placed With Siblings,Carer Age,Carer Gender,Carer Ethnicity,Placement Type,Placement Start Date,Move Date,Days Placed,Move Reason,Distance From Home (miles),EH involvement,YOT involvement,Placement Sequence Number
15,Female,Asian/British Asian - Pakistani,1,True,7,5,True,35,Male,Asian/British Asian - Pakistani,In-House Fostering,2024-01-09,2025-12-20,711,Child requests end,8.4,False,True,2
7,Female,White - Eastern European,5,True,1,4,True,54,Female,White - Irish,External Fostering,2024-08-01,2028-02-29,1307,Allegation,4.96,False,False,6
8,Trans Male,Mixed - White/Black Caribbean,0,False,5,3,True,47,Male,White - British,In-House Fostering,2025-10-04,2026-03-13,160,Carer requests end,18.16,True,True,1
2,Male,White - British,4,True,0,3,True,44,Male,Asian/British Asian - Pakistani,External Fostering,2024-11-22,2025-05-23,182,Child requests end,19.64,False,False,5
10,Female,White - Central European,0,False,4,4,True,40,Trans Female,Asian/British Asian - Pakistani,In-House Fostering,2023-03-22,2025-06-08,809,Behaviour concerns,18.0,False,True,1
7,Female,Asian/British Asian - Pakistani,4,True,3,2,True,50,Trans Female,White - Irish,In-House Fostering,2025-06-14,2025-07-04,20,Placement stability concerns,1.58,True,True,5
10,Trans Male,White - British,2,True,1,1,False,51,Male,White - British,External Fostering,2022-01-30,2024-03-28,788,Child requests end,9.12,True,True,3
6,Male,White - British,0,False,1,4,True,49,Male,White - British,Kinship,2025-01-10,2032-04-02,2639,Allegation,0.41,True,False,1
3,Trans Male,White - British,4,True,7,5,True,58,Female,White - Other,In-House Fostering,2022-03-30,2023-05-10,406,Placement stability concerns,13.24,True,True,5
6,Male,White - British,0,False,0,3,True,48,Male,White - British,In-House Fostering,2023-09-16,2023-11-01,46,Planned move,18.45,True,True,1
10,Trans Female,White - British,0,False,2,0,False,54,Female,Mixed - White/Black African,In-House Fostering,2022-01-15,2022-10-13,271,Carer requests end,1.41,True,True,1
6,Female,White - British,0,False,4,4,True,36,Female,White - British,External Fostering,2024-09-07,2024-10-14,37,Child requests end,17.23,True,False,1
3,Female,White - British,0,False,3,5,True,55,Male,Asian/British Asian - Pakistani,Kinship,2023-11-05,2025-11-13,739,Allegation,3.48,True,True,1
6,Male,White - British,1,True,6,0,False,45,Trans Male,White - British,In-House Fostering,2023-01-09,2023-07-05,177,Placement stability concerns,15.03,True,True,2
9,Female,Black/Black British - Caribbean,0,False,0,3,True,49,Trans Male,Asian/British Asian - Pakistani,Residential,2022-01-14,2022-10-16,275,Placement stability concerns,58.32,True,True,1
9,Male,Asian/British Asian - Pakistani,0,False,6,4,True,47,Female,White - British,In-House Fostering,2023-11-04,2024-01-01,58,Placement stability concerns,3.98,False,False,1
8,Female,Asian/British Asian - Pakistani,2,True,3,4,True,56,Male,Asian/British Asian - Pakistani,Kinship,2024-12-16,2024-12-21,5,Behaviour concerns,0.26,False,False,3
9,Female,Asian/British Asian - Other,0,False,4,1,False,47,Female,Traveller - Other,External Fostering,2022-04-29,2024-07-10,803,Allegation,7.08,True,False,1
8,Male,White - British,1,True,0,5,True,56,Trans Male,White - British,In-House Fostering,2023-04-17,2023-06-08,52,Allegation,4.48,True,True,2
13,Male,White - British,4,True,1,0,False,48,Female,Mixed - White/Asian,External Fostering,2023-06-27,2023-09-16,81,Carer requests end,10.34,True,True,5
4,Male,Asian/British Asian - Bangladeshi,5,True,3,0,False,36,Trans Female,White - British,External Fostering,2025-06-22,2028-05-19,1062,Child requests end,6.34,True,False,6
7,Trans Female,White - British,1,True,4,3,True,42,Trans Female,White - British,In-House Fostering,2023-09-26,2024-10-25,395,Carer requests end,4.92,False,True,2
9,Female,Asian/British Asian - Pakistani,1,True,5,3,True,46,Female,White - Central European,External Fostering,2025-06-19,2025-07-28,39,Behaviour concerns,0.21,False,True,2
9,Female,White - British,4,True,3,5,True,50,Male,Asian/British Asian - Pakistani,External Fostering,2022-04-07,2023-03-16,343,Behaviour concerns,8.67,True,False,5
3,Male,White - British,2,True,5,4,True,42,Female,White - British,External Fostering,2025-02-27,2026-02-26,364,Planned move,18.01,False,True,3
5,Male,White - Eastern European,0,False,4,5,True,52,Female,White - British,In-House Fostering,2023-02-28,2023-12-26,301,Allegation,13.92,False,True,1
6,Male,White - British,3,True,1,5,True,54,Male,White - British,In-House Fostering,2022-04-28,2023-04-15,352,Planned move,2.64,False,False,4
