feature,coefficient
YOT involvement,10.153809318989646
Placed With Siblings,9.127197729772856
Carer Gender,7.229435698307315
Placement Type,-4.7856310451504225
Returning Child,2.9383496993771243
Sibling Group Size,1.9601367252517172
Child Prior Placements,1.42242266937787
Placement Sequence Number,-1.1928834169256024
EH involvement,-1.1105599383171372
Child Gender,1.0851310059977892
Missing Episodes,-0.6081887878890835
Carer Age,-0.5257341043428148
Child Ethnicity,-0.25756966572377327
Carer Ethnicity,0.2314520809601036
Child Age At Placement,-0.18009124270720953
