feature,importance
Carer Age,0.16240518976851492
Child Age At Placement,0.13197729514167938
Missing Episodes,0.1060370120419376
Sibling Group Size,0.07986823398545723
Carer Ethnicity,0.07504551618015928
Child Ethnicity,0.0687669108777083
Child Gender,0.06481562932908652
Carer Gender,0.06402027010042233
Placement Type,0.05615794437472754
Placement Sequence Number,0.0449955595117813
Child Prior Placements,0.04469770273953116
EH involvement,0.03609128289732495
YOT involvement,0.0317171465377085
Placed With Siblings,0.020040681586804047
Returning Child,0.013363624927156812
