feature,importance
Carer Age,0.16275550091926466
Child Age At Placement,0.13626290789299358
Missing Episodes,0.1129854910785003
Sibling Group Size,0.0862673665294658
Carer Ethnicity,0.07611750609542003
Child Gender,0.07328599321998099
Child Ethnicity,0.0726352015505997
Carer Gender,0.07228537989619155
Placement Sequence Number,0.04863043265605377
Child Prior Placements,0.04688882759619516
YOT involvement,0.03844615582614029
EH involvement,0.03544669625321831
Placed With Siblings,0.021930761852444473
Returning Child,0.016061778633531587
