Primary Key,Start,End,Length of Placement - Days,Distance,Inside or Outside District,Placement Provision,Placement Type,Change Reason
553,18/07/2023,19/07/2023,884,0,OUT,PR1 - Own provision by LA,Kinship - short term,Allegation (S47)
558,18/07/2023,19/07/2023,884,0,OUT,PR1 - Own provision by LA,Kinship - short term,Allegation (S47)
639,18/07/2023,19/07/2023,884,0,OUT,PR1 - Own provision by LA,Kinship - short term,Allegation (S47)
1341,26/04/2024,09/10/2024,601,0,IN,PR1 - Own provision by LA,Fostering – long term,Allegation (S47)
1346,26/04/2024,26/09/2024,601,0,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
1420,26/04/2024,26/09/2024,601,0,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
431,30/06/2025,22/07/2025,171,1,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Allegation (S47)
778,04/04/2023,29/12/2023,989,1,IN,PR4 - Private Provision,Semi-independent supported accommodation,Allegation (S47)
1138,07/05/2025,15/05/2025,225,2,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
1142,07/05/2025,16/05/2025,225,2,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
143,21/03/2025,24/10/2025,272,3,IN,PR4 - Private Provision,Semi-independent supported accommodation,Allegation (S47)
1734,26/04/2023,11/07/2023,967,3,IN,PR4 - Private Provision,Fostering – short term,Allegation (S47)
399,12/04/2024,31/05/2024,615,6,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
125,21/07/2025,19/09/2025,150,7,IN,PR1 - Own provision by LA,Kinship - Unregistered Carer,Allegation (S47)
1466,04/09/2023,05/09/2023,836,9,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
486,20/04/2023,21/04/2023,973,11,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
1032,10/05/2023,15/05/2023,953,42,OUT,PR4 - Private Provision,Fostering – short term,Allegation (S47)
1013,10/01/2024,17/07/2024,708,46,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
151,01/04/2025,19/06/2025,261,80,OUT,PR4 - Private Provision,Semi-independent supported accommodation,Allegation (S47)
579,26/04/2023,23/06/2023,967,80,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
695,02/06/2023,21/08/2025,930,89,OUT,PR4 - Private Provision,Residential Unit (Children's Home),Allegation (S47)
1680,07/06/2024,20/09/2024,559,95,OUT,PR4 - Private Provision,Unregistered Placement,Allegation (S47)
583,12/11/2024,11/12/2024,401,,IN,PR4 - Private Provision,Fostering – short term,Allegation (S47)
594,06/02/2024,18/03/2024,681,,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
956,06/02/2024,18/03/2024,681,,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
1345,26/04/2024,26/09/2024,601,,OUT,PR4 - Private Provision,Fostering – long term,Allegation (S47)
1517,06/02/2024,18/03/2024,681,,IN,PR1 - Own provision by LA,Fostering – short term,Allegation (S47)
2529,22/07/2025,17/10/2025,149,2.5,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
498,01/05/2025,16/09/2025,231,3,IN,PR1 - Own provision by LA,Kinship - short term,Approval removed
647,01/05/2025,16/09/2025,231,3,IN,PR1 - Own provision by LA,Kinship - short term,Approval removed
2218,30/01/2024,27/07/2024,688,5,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
1058,12/05/2023,13/11/2023,951,9,IN,PR1 - Own provision by LA,Fostering – short term,Approval removed
1865,20/02/2024,27/03/2025,667,10,OUT,PR1 - Own provision by LA,Fostering – short term,Approval removed
